id,industria,sector
59,Consumer Electronics/Appliances,Industrials
60,Consumer Electronics/Appliances,Industrials
61,Consumer Electronics/Appliances,Industrials
62,Consumer Electronics/Appliances,Industrials
63,Consumer Electronics/Appliances,Industrials
64,Pharmaceuticals and Biotechnology,Health Care
65,Catalog/Specialty Distribution,Consumer Discretionary
66,Business Services,Consumer Discretionary
67,Catalog/Specialty Distribution,Consumer Discretionary
68,Business Services,Consumer Discretionary
69,Advertising,Consumer Discretionary
70,Metal Fabrications,Industrials
71,Metal Fabrications,Industrials
72,Recreational Games/Products/Toys,Consumer Discretionary
73,Biotechnology: Pharmaceutical Preparations,Health Care
74,Biotechnology: Pharmaceutical Preparations,Health Care
75,Property-Casualty Insurers,Finance
76,Property-Casualty Insurers,Finance
77,Property-Casualty Insurers,Finance
78,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
79,Medical Specialities,Health Care
80,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
81,Aerospace,Industrials
82,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
83,Food Chains,Consumer Staples
84,Biotechnology: Pharmaceutical Preparations,Health Care
85,EDP Services,Technology
86,Industrial Machinery/Components,Technology
87,Biotechnology: Pharmaceutical Preparations,Health Care
88,Military/Government/Technical,Consumer Discretionary
89,Industrial Machinery/Components,Technology
90,Business Services,Consumer Discretionary
91,Major Banks,Finance
92,Steel/Iron Ore,Industrials
93,Retail: Computer Software & Peripheral Equipment,Technology
94,Retail: Computer Software & Peripheral Equipment,Technology
95,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
96,Investment Managers,Finance
97,,
98,Real Estate Investment Trusts,Real Estate
99,,
100,,
101,Real Estate Investment Trusts,Real Estate
102,Consumer Electronics/Appliances,Industrials
103,Biotechnology: Commercial Physical & Biological Resarch,Health Care
104,Medicinal Chemicals and Botanical Products,Health Care
105,Biotechnology: Pharmaceutical Preparations,Health Care
106,Biotechnology: Pharmaceutical Preparations,Health Care
107,Specialty Insurers,Finance
108,Office Equipment/Supplies/Services,Miscellaneous
109,Industrial Machinery/Components,Consumer Discretionary
110,Finance/Investors Services,Finance
111,Metal Fabrications,Industrials
112,Biotechnology: Pharmaceutical Preparations,Health Care
113,Biotechnology: Pharmaceutical Preparations,Health Care
114,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
115,Computer Software: Prepackaged Software,Technology
116,Real Estate Investment Trusts,Real Estate
117,,
118,Biotechnology: Pharmaceutical Preparations,Health Care
119,Engineering & Construction,Consumer Discretionary
120,EDP Services,Technology
121,Consumer Electronics/Appliances,Industrials
122,Consumer Electronics/Appliances,Industrials
123,Major Chemicals,Industrials
124,Consumer Electronics/Appliances,Industrials
125,Semiconductors,Technology
126,Biotechnology: Pharmaceutical Preparations,Health Care
127,Biotechnology: Pharmaceutical Preparations,Health Care
128,Packaged Foods,Consumer Staples
129,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
130,Biotechnology: Pharmaceutical Preparations,Health Care
131,Industrial Machinery/Components,Miscellaneous
132,Auto Parts:O.E.M.,Consumer Discretionary
133,Industrial Machinery/Components,Miscellaneous
134,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
135,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
136,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
137,Business Services,Consumer Discretionary
138,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
139,Consumer Electronics/Appliances,Industrials
140,Industrial Specialties,Consumer Discretionary
141,Industrial Specialties,Consumer Discretionary
142,Computer Software: Prepackaged Software,Technology
143,Diversified Commercial Services,Consumer Discretionary
144,Advertising,Consumer Discretionary
145,Advertising,Consumer Discretionary
146,Telecommunications Equipment,Telecommunications
147,Biotechnology: Pharmaceutical Preparations,Health Care
148,Medical/Nursing Services,Health Care
149,Advertising,Consumer Discretionary
150,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
151,Advertising,Consumer Discretionary
152,Investment Managers,Finance
153,Biotechnology: Pharmaceutical Preparations,Health Care
154,Oilfield Services/Equipment,Energy
155,Consumer Electronics/Appliances,Industrials
156,Consumer Electronics/Appliances,Industrials
157,Power Generation,Utilities
158,Finance/Investors Services,Finance
159,,
160,Life Insurance,Finance
161,Building Products,Consumer Discretionary
162,Electrical Products,Industrials
163,Building operators,Real Estate
164,Industrial Machinery/Components,Technology
165,Life Insurance,Finance
166,,
167,,
168,,
169,Diversified Commercial Services,Miscellaneous
170,Military/Government/Technical,Industrials
171,Clothing/Shoe/Accessory Stores,Consumer Discretionary
172,Electric Utilities: Central,Utilities
173,Electric Utilities: Central,Utilities
174,Diversified Commercial Services,Consumer Discretionary
175,Electric Utilities: Central,Utilities
176,Electric Utilities: Central,Utilities
177,Metal Fabrications,Industrials
178,Auto Parts:O.E.M.,Consumer Discretionary
179,Office Equipment/Supplies/Services,Industrials
180,Computer Software: Prepackaged Software,Technology
181,Pharmaceuticals and Biotechnology,Health Care
182,Blank Checks,Finance
183,Blank Checks,Finance
184,Trusts Except Educational Religious and Charitable,Finance
185,Major Banks,Finance
186,Real Estate Investment Trusts,Real Estate
187,Property-Casualty Insurers,Finance
188,Property-Casualty Insurers,Finance
189,Real Estate,Finance
190,,
191,Property-Casualty Insurers,Finance
192,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
193,Accident &Health Insurance,Finance
194,Biotechnology: Pharmaceutical Preparations,Health Care
195,Farming/Seeds/Milling,Consumer Staples
196,Farming/Seeds/Milling,Consumer Staples
197,EDP Services,Technology
198,Investment Managers,Finance
199,Blank Checks,Finance
200,Educational Services,Consumer Discretionary
201,Precious Metals,Basic Materials
202,Blank Checks,Finance
203,Services-Misc. Amusement & Recreation,Consumer Discretionary
204,Blank Checks,Finance
205,Investment Managers,Finance
206,Industrial Machinery/Components,Industrials
207,Trusts Except Educational Religious and Charitable,Finance
208,Biotechnology: Pharmaceutical Preparations,Health Care
209,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
210,Military/Government/Technical,Consumer Discretionary
211,Precious Metals,Basic Materials
212,EDP Services,Technology
213,EDP Services,Technology
214,Biotechnology: Pharmaceutical Preparations,Health Care
215,Managed Health Care,Health Care
216,Biotechnology: Pharmaceutical Preparations,Health Care
217,Finance Companies,Finance
218,,
219,,
220,,
221,,
222,,
223,EDP Services,Technology
224,Real Estate Investment Trusts,Real Estate
225,Real Estate Investment Trusts,Real Estate
226,Real Estate Investment Trusts,Real Estate
227,Real Estate Investment Trusts,Real Estate
228,Real Estate Investment Trusts,Real Estate
229,Real Estate Investment Trusts,Real Estate
230,Property-Casualty Insurers,Finance
231,Electric Utilities: Central,Utilities
232,,
233,,
234,Farming/Seeds/Milling,Consumer Staples
235,Biotechnology: Pharmaceutical Preparations,Health Care
236,Recreational Games/Products/Toys,Consumer Discretionary
237,Managed Health Care,Health Care
238,Engineering & Construction,Consumer Discretionary
239,EDP Services,Technology
240,Medical/Nursing Services,Health Care
241,Finance: Consumer Services,Finance
242,Real Estate,Finance
243,,
244,Package Goods/Cosmetics,Consumer Discretionary
245,,
246,,
247,,
248,Farming/Seeds/Milling,Consumer Staples
249,Farming/Seeds/Milling,Consumer Staples
250,Real Estate Investment Trusts,Real Estate
251,,
252,,
253,,
254,,
255,,
256,Computer Software: Prepackaged Software,Technology
257,Blank Checks,Finance
258,Real Estate Investment Trusts,Real Estate
259,Finance Companies,Finance
260,Life Insurance,Finance
261,,
262,Medical Specialities,Health Care
263,Finance: Consumer Services,Finance
264,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
265,Blank Checks,Finance
266,Biotechnology: Pharmaceutical Preparations,Health Care
267,Biotechnology: Pharmaceutical Preparations,Health Care
268,Textiles,Consumer Discretionary
269,Investment Managers,Finance
270,Finance/Investors Services,Finance
271,Semiconductors,Technology
272,Aerospace,Industrials
273,Real Estate Investment Trusts,Real Estate
274,Radio And Television Broadcasting And Communications Equipment,Technology
275,Military/Government/Technical,Industrials
276,Hospital/Nursing Management,Health Care
277,Air Freight/Delivery Services,Consumer Discretionary
278,Air Freight/Delivery Services,Consumer Discretionary
279,Industrial Machinery/Components,Industrials
280,Service to the Health Industry,Consumer Discretionary
281,Real Estate Investment Trusts,Real Estate
282,Computer Software: Prepackaged Software,Technology
283,Property-Casualty Insurers,Finance
284,Accident &Health Insurance,Finance
285,Specialty Insurers,Finance
286,Military/Government/Technical,Industrials
287,Real Estate Investment Trusts,Real Estate
288,Real Estate Investment Trusts,Real Estate
289,Department/Specialty Retail Stores,Consumer Discretionary
290,Business Services,Consumer Discretionary
291,Medicinal Chemicals and Botanical Products,Health Care
292,Biotechnology: Pharmaceutical Preparations,Health Care
293,Computer Software: Prepackaged Software,Technology
294,,
295,,
296,Real Estate Investment Trusts,Real Estate
297,Biotechnology: Pharmaceutical Preparations,Health Care
298,Telecommunications Equipment,Utilities
299,Biotechnology: Pharmaceutical Preparations,Health Care
300,,
301,Medical Specialities,Industrials
302,Diversified Commercial Services,Consumer Discretionary
303,,
304,Computer Software: Prepackaged Software,Technology
305,Major Chemicals,Industrials
306,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
307,Ophthalmic Goods,Health Care
308,Consumer Electronics/Appliances,Industrials
309,,
310,Blank Checks,Finance
311,Biotechnology: Pharmaceutical Preparations,Health Care
312,Power Generation,Utilities
313,Biotechnology: Pharmaceutical Preparations,Health Care
314,Real Estate Investment Trusts,Real Estate
315,Industrial Machinery/Components,Industrials
316,Semiconductors,Technology
317,Industrial Specialties,Health Care
318,Biotechnology: Pharmaceutical Preparations,Health Care
319,Air Freight/Delivery Services,Consumer Discretionary
320,Medical Specialities,Health Care
321,Biotechnology: Pharmaceutical Preparations,Health Care
322,EDP Services,Technology
323,Air Freight/Delivery Services,Consumer Discretionary
324,Biotechnology: Pharmaceutical Preparations,Health Care
325,EDP Services,Technology
326,Property-Casualty Insurers,Finance
327,,
328,,
329,,
330,Diversified Commercial Services,Consumer Discretionary
331,Other Specialty Stores,Consumer Discretionary
332,Biotechnology: Pharmaceutical Preparations,Health Care
333,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
334,Biotechnology: Pharmaceutical Preparations,Health Care
335,Telecommunications Equipment,Telecommunications
336,Diversified Financial Services,Finance
337,Biotechnology: Pharmaceutical Preparations,Health Care
338,Blank Checks,Finance
339,Blank Checks,Finance
340,Computer peripheral equipment,Technology
341,Consumer Electronics/Appliances,Industrials
342,Consumer Electronics/Appliances,Industrials
343,Consumer Electronics/Appliances,Industrials
344,Biotechnology: Pharmaceutical Preparations,Health Care
345,Metal Fabrications,Industrials
346,Oil & Gas Production,Energy
347,Computer Software: Prepackaged Software,Technology
348,Biotechnology: Pharmaceutical Preparations,Health Care
349,Major Banks,Finance
350,Blank Checks,Finance
351,Blank Checks,Finance
352,Blank Checks,Finance
353,Auto Parts:O.E.M.,Consumer Discretionary
354,Biotechnology: Pharmaceutical Preparations,Health Care
355,Industrial Machinery/Components,Industrials
356,,
357,Investment Managers,Finance
358,Investment Managers,Finance
359,Industrial Specialties,Industrials
360,Computer Software: Prepackaged Software,Technology
361,Consumer Electronics/Appliances,Industrials
362,Consumer Electronics/Appliances,Industrials
363,Auto Parts:O.E.M.,Consumer Discretionary
364,Biotechnology: Pharmaceutical Preparations,Health Care
365,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
366,Real Estate Investment Trusts,Real Estate
367,Biotechnology: Pharmaceutical Preparations,Health Care
368,,
369,Medicinal Chemicals and Botanical Products,Health Care
370,Natural Gas Distribution,Utilities
371,Commercial Banks,Finance
372,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
373,Consumer Electronics/Appliances,Industrials
374,Consumer Electronics/Appliances,Industrials
375,Semiconductors,Technology
376,Semiconductors,Technology
377,Property-Casualty Insurers,Finance
378,Environmental Services,Industrials
379,Educational Services,Consumer Discretionary
380,Containers/Packaging,Industrials
381,Movies/Entertainment,Consumer Discretionary
382,Miscellaneous manufacturing industries,Consumer Discretionary
383,Cable & Other Pay Television Services,Telecommunications
384,Semiconductors,Technology
385,Metal Fabrications,Consumer Discretionary
386,Medical/Nursing Services,Health Care
387,Managed Health Care,Health Care
388,Investment Managers,Finance
389,Biotechnology: Pharmaceutical Preparations,Health Care
390,Real Estate Investment Trusts,Real Estate
391,,
392,,
393,Investment Managers,Finance
394,Semiconductors,Technology
395,Industrial Machinery/Components,Industrials
396,Biotechnology: Pharmaceutical Preparations,Health Care
397,Professional Services,Consumer Discretionary
398,Major Banks,Finance
399,Electrical Products,Industrials
400,Investment Managers,Finance
401,Biotechnology: Pharmaceutical Preparations,Health Care
402,Industrial Machinery/Components,Technology
403,Industrial Machinery/Components,Technology
404,Biotechnology: Pharmaceutical Preparations,Health Care
405,EDP Services,Technology
406,Power Generation,Utilities
407,Electrical Products,Industrials
408,Oil & Gas Production,Energy
409,Coal Mining,Energy
410,Engineering & Construction,Consumer Discretionary
411,Investment Bankers/Brokers/Service,Finance
412,Biotechnology: Pharmaceutical Preparations,Health Care
413,Major Chemicals,Industrials
414,Biotechnology: Pharmaceutical Preparations,Health Care
415,Medical Specialities,Health Care
416,Metal Fabrications,Consumer Discretionary
417,Property-Casualty Insurers,Finance
418,Computer Software: Prepackaged Software,Technology
419,Computer Software: Prepackaged Software,Technology
420,Trusts Except Educational Religious and Charitable,Finance
421,Major Banks,Finance
422,,
423,Medicinal Chemicals and Botanical Products,Health Care
424,Oilfield Services/Equipment,Energy
425,Automotive Aftermarket,Consumer Discretionary
426,Forest Products,Basic Materials
427,Retail: Computer Software & Peripheral Equipment,Technology
428,Telecommunications Equipment,Telecommunications
429,Catalog/Specialty Distribution,Consumer Discretionary
430,Retail-Auto Dealers and Gas Stations,Consumer Discretionary
431,Biotechnology: Pharmaceutical Preparations,Health Care
432,Tobacco,Consumer Staples
433,Biotechnology: Pharmaceutical Preparations,Health Care
434,Computer peripheral equipment,Technology
435,Clothing/Shoe/Accessory Stores,Consumer Discretionary
436,Movies/Entertainment,Consumer Discretionary
437,Movies/Entertainment,Consumer Discretionary
438,Advertising,Consumer Discretionary
439,Biotechnology: Pharmaceutical Preparations,Health Care
440,Medical/Dental Instruments,Health Care
441,Medical/Dental Instruments,Health Care
442,Biotechnology: Pharmaceutical Preparations,Health Care
443,Biotechnology: Pharmaceutical Preparations,Health Care
444,Biotechnology: Pharmaceutical Preparations,Health Care
445,Medical Specialities,Health Care
446,Computer Software: Prepackaged Software,Technology
447,Advertising,Consumer Discretionary
448,Biotechnology: Pharmaceutical Preparations,Health Care
449,Biotechnology: Pharmaceutical Preparations,Health Care
450,,
451,Consumer Electronics/Appliances,Industrials
452,Consumer Electronics/Appliances,Industrials
453,Consumer Electronics/Appliances,Industrials
454,Investment Managers,Finance
455,Consumer Electronics/Appliances,Industrials
456,Consumer Electronics/Appliances,Industrials
457,Real Estate Investment Trusts,Real Estate
458,Specialty Insurers,Finance
459,,
460,Industrial Machinery/Components,Industrials
461,Semiconductors,Technology
462,,
463,Fluid Controls,Industrials
464,Oil & Gas Production,Energy
465,Blank Checks,Finance
466,Blank Checks,Finance
467,Investment Managers,Finance
468,Blank Checks,Finance
469,EDP Services,Technology
470,EDP Services,Technology
471,Specialty Chemicals,Industrials
472,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
473,Movies/Entertainment,Consumer Discretionary
474,Other Consumer Services,Consumer Discretionary
475,Engineering & Construction,Consumer Discretionary
476,Blank Checks,Finance
477,Biotechnology: Pharmaceutical Preparations,Health Care
478,Biotechnology: Pharmaceutical Preparations,Health Care
479,Electrical Products,Technology
480,Computer Software: Prepackaged Software,Technology
481,Investment Bankers/Brokers/Service,Finance
482,Real Estate Investment Trusts,Real Estate
483,Blank Checks,Finance
484,Blank Checks,Finance
485,Biotechnology: Pharmaceutical Preparations,Health Care
486,Biotechnology: Pharmaceutical Preparations,Health Care
487,Biotechnology: Pharmaceutical Preparations,Health Care
488,Consumer Electronics/Appliances,Industrials
489,Consumer Electronics/Appliances,Industrials
490,Consumer Electronics/Appliances,Industrials
491,Investment Managers,Finance
492,Auto Parts:O.E.M.,Consumer Discretionary
493,EDP Services,Technology
494,EDP Services,Technology
495,Farming/Seeds/Milling,Consumer Staples
496,Farming/Seeds/Milling,Consumer Staples
497,EDP Services,Technology
498,Computer Software: Prepackaged Software,Technology
499,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
500,Catalog/Specialty Distribution,Consumer Discretionary
501,,
502,,
503,,
504,,
505,Pharmaceuticals and Biotechnology,Health Care
506,Auto Parts:O.E.M.,Consumer Discretionary
507,,
508,Biotechnology: Pharmaceutical Preparations,Health Care
509,Biotechnology: Pharmaceutical Preparations,Health Care
510,Telecommunications Equipment,Industrials
511,Blank Checks,Finance
512,Blank Checks,Finance
513,Blank Checks,Finance
514,Medical/Dental Instruments,Health Care
515,,
516,Metal Fabrications,Industrials
517,Electric Utilities: Central,Utilities
518,Electric Utilities: Central,Utilities
519,Electric Utilities: Central,Utilities
520,Electric Utilities: Central,Utilities
521,Biotechnology: Pharmaceutical Preparations,Health Care
522,Consumer Electronics/Appliances,Industrials
523,Office Equipment/Supplies/Services,Industrials
524,Consumer Electronics/Appliances,Industrials
525,Oil & Gas Production,Energy
526,Biotechnology: Pharmaceutical Preparations,Health Care
527,Medical/Dental Instruments,Health Care
528,EDP Services,Technology
529,EDP Services,Technology
530,EDP Services,Technology
531,Consumer Electronics/Appliances,Industrials
532,Consumer Electronics/Appliances,Industrials
533,Finance: Consumer Services,Finance
534,EDP Services,Technology
535,Business Services,Consumer Discretionary
536,Trucking Freight/Courier Services,Industrials
537,Finance: Consumer Services,Finance
538,Educational Services,Consumer Discretionary
539,Coal Mining,Energy
540,Restaurants,Consumer Discretionary
541,Biotechnology: Pharmaceutical Preparations,Health Care
542,Investment Managers,Finance
543,Biotechnology: Pharmaceutical Preparations,Health Care
544,Biotechnology: Pharmaceutical Preparations,Health Care
545,Real Estate Investment Trusts,Real Estate
546,Apparel,Consumer Discretionary
547,Apparel,Consumer Discretionary
548,Coal Mining,Energy
549,Interactive Media,Technology
550,Investment Managers,Finance
551,Specialty Insurers,Finance
552,Specialty Insurers,Finance
553,,
554,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
555,Wholesale Distributors,Consumer Discretionary
556,Real Estate Investment Trusts,Real Estate
557,Water Supply,Utilities
558,Consumer Electronics/Appliances,Industrials
559,Blank Checks,Finance
560,Consumer Electronics/Appliances,Industrials
561,Consumer Electronics/Appliances,Industrials
562,Oil Refining/Marketing,Energy
563,Oil Refining/Marketing,Energy
564,Restaurants,Consumer Discretionary
565,Building operators,Real Estate
566,Consumer Electronics/Appliances,Consumer Staples
567,Coal Mining,Energy
568,Restaurants,Consumer Discretionary
569,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
570,Metal Fabrications,Industrials
571,Natural Gas Distribution,Utilities
572,Major Banks,Finance
573,Computer Software: Prepackaged Software,Technology
574,Computer Software: Prepackaged Software,Technology
575,Biotechnology: Pharmaceutical Preparations,Health Care
576,Real Estate Investment Trusts,Real Estate
577,,
578,Consumer Electronics/Appliances,Industrials
579,Consumer Electronics/Appliances,Industrials
580,Consumer Electronics/Appliances,Industrials
581,Semiconductors,Technology
582,Consumer Electronics/Appliances,Industrials
583,Consumer Electronics/Appliances,Industrials
584,Biotechnology: Pharmaceutical Preparations,Health Care
585,Biotechnology: Pharmaceutical Preparations,Health Care
586,Water Supply,Utilities
587,Industrial Machinery/Components,Industrials
588,Auto Manufacturing,Consumer Discretionary
589,Biotechnology: Pharmaceutical Preparations,Health Care
590,Electronic Components,Technology
591,Biotechnology: Pharmaceutical Preparations,Health Care
592,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
593,Blank Checks,Finance
594,Precious Metals,Industrials
595,Food Chains,Consumer Staples
596,Retail: Computer Software & Peripheral Equipment,Technology
597,Major Banks,Finance
598,,
599,,
600,Major Banks,Finance
601,Marine Transportation,Consumer Discretionary
602,Blank Checks,Finance
603,Blank Checks,Finance
604,Blank Checks,Finance
605,Blank Checks,Finance
606,Blank Checks,Finance
607,Investment Managers,Finance
608,Investment Managers,Finance
609,Professional Services,Consumer Discretionary
610,Specialty Chemicals,Industrials
611,Major Chemicals,Industrials
612,Aerospace,Consumer Discretionary
613,Biotechnology: Pharmaceutical Preparations,Health Care
614,,
615,Biotechnology: Pharmaceutical Preparations,Health Care
616,Industrial Machinery/Components,Technology
617,Biotechnology: Pharmaceutical Preparations,Health Care
618,Telecommunications Equipment,Telecommunications
619,Recreational Games/Products/Toys,Consumer Discretionary
620,Industrial Specialties,Industrials
621,Wholesale Distributors,Industrials
622,Other Consumer Services,Consumer Discretionary
623,Aerospace,Consumer Discretionary
624,Biotechnology: Pharmaceutical Preparations,Health Care
625,Major Banks,Finance
626,EDP Services,Consumer Discretionary
627,Biotechnology: Laboratory Analytical Instruments,Industrials
628,Construction/Ag Equipment/Trucks,Industrials
629,Semiconductors,Technology
630,Steel/Iron Ore,Industrials
631,,
632,,
633,Telecommunications Equipment,Consumer Discretionary
634,Telecommunications Equipment,Consumer Discretionary
635,EDP Services,Technology
636,Semiconductors,Technology
637,Medical/Dental Instruments,Health Care
638,Semiconductors,Technology
639,Biotechnology: Pharmaceutical Preparations,Health Care
640,Blank Checks,Finance
641,Blank Checks,Finance
642,Blank Checks,Finance
643,Hotels/Resorts,Consumer Discretionary
644,,
645,,
646,,
647,Precious Metals,Basic Materials
648,Medical/Dental Instruments,Health Care
649,Consumer Electronics/Appliances,Industrials
650,EDP Services,Technology
651,,
652,Telecommunications Equipment,Telecommunications
653,Other Consumer Services,Consumer Discretionary
654,,
655,,
656,,
657,,
658,,
659,Medicinal Chemicals and Botanical Products,Health Care
660,Biotechnology: Pharmaceutical Preparations,Health Care
661,Interactive Media,Technology
662,Biotechnology: Pharmaceutical Preparations,Health Care
663,Steel/Iron Ore,Industrials
664,Professional Services,Consumer Discretionary
665,Managed Health Care,Health Care
666,Electrical Products,Technology
667,Finance: Consumer Services,Finance
668,Finance: Consumer Services,Finance
669,Finance: Consumer Services,Finance
670,Major Banks,Finance
671,Precious Metals,Basic Materials
672,,
673,,
674,,
675,Blank Checks,Finance
676,Biotechnology: Pharmaceutical Preparations,Health Care
677,Biotechnology: Pharmaceutical Preparations,Health Care
678,Telecommunications Equipment,Telecommunications
679,Biotechnology: Pharmaceutical Preparations,Health Care
680,Biotechnology: Pharmaceutical Preparations,Health Care
681,Oil/Gas Transmission,Utilities
682,Semiconductors,Technology
683,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
684,Medical/Dental Instruments,Health Care
685,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
686,Medical/Dental Instruments,Health Care
687,Medical/Dental Instruments,Health Care
688,Military/Government/Technical,Industrials
689,Air Freight/Delivery Services,Consumer Discretionary
690,Telecommunications Equipment,Telecommunications
691,Cable & Other Pay Television Services,Telecommunications
692,Recreational Games/Products/Toys,Consumer Discretionary
693,Oil Refining/Marketing,Consumer Discretionary
694,Biotechnology: Pharmaceutical Preparations,Health Care
695,Biotechnology: Pharmaceutical Preparations,Health Care
696,Precious Metals,Basic Materials
697,Major Banks,Finance
698,,
699,Major Banks,Finance
700,Broadcasting,Consumer Discretionary
701,Telecommunications Equipment,Utilities
702,Computer Software: Prepackaged Software,Technology
703,Computer Software: Prepackaged Software,Technology
704,Investment Bankers/Brokers/Service,Finance
705,,
706,Precious Metals,Basic Materials
707,Biotechnology: Pharmaceutical Preparations,Health Care
708,EDP Services,Technology
709,Biotechnology: Pharmaceutical Preparations,Health Care
710,Finance: Consumer Services,Finance
711,EDP Services,Technology
712,,
713,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
714,Computer Software: Prepackaged Software,Technology
715,Computer Software: Prepackaged Software,Technology
716,,
717,,
718,Power Generation,Utilities
719,Consumer Electronics/Appliances,Industrials
720,Consumer Electronics/Appliances,Industrials
721,Consumer Electronics/Appliances,Industrials
722,Hospital/Nursing Management,Health Care
723,Commercial Banks,Finance
724,Aerospace,Industrials
725,Real Estate Investment Trusts,Real Estate
726,Agricultural Chemicals,Industrials
727,Biotechnology: Pharmaceutical Preparations,Health Care
728,EDP Services,Technology
729,Semiconductors,Technology
730,Medical/Dental Instruments,Health Care
731,Consumer Electronics/Appliances,Industrials
732,Consumer Electronics/Appliances,Industrials
733,Computer Software: Prepackaged Software,Technology
734,Medicinal Chemicals and Botanical Products,Health Care
735,Trusts Except Educational Religious and Charitable,Finance
736,Industrial Specialties,Health Care
737,Major Chemicals,Industrials
738,Radio And Television Broadcasting And Communications Equipment,Technology
739,Specialty Foods,Consumer Discretionary
740,EDP Services,Technology
741,EDP Services,Technology
742,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
743,Electronic Components,Technology
744,Investment Managers,Finance
745,Biotechnology: Pharmaceutical Preparations,Health Care
746,Industrial Specialties,Industrials
747,Biotechnology: Pharmaceutical Preparations,Health Care
748,Biotechnology: Commercial Physical & Biological Resarch,Health Care
749,Containers/Packaging,Industrials
750,Trusts Except Educational Religious and Charitable,Finance
751,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
752,Plastic Products,Industrials
753,Industrial Machinery/Components,Industrials
754,Industrial Machinery/Components,Industrials
755,Water Supply,Utilities
756,Trusts Except Educational Religious and Charitable,Finance
757,Water Supply,Utilities
758,Computer Software: Prepackaged Software,Technology
759,Environmental Services,Utilities
760,Savings Institutions,Finance
761,Blank Checks,Finance
762,Biotechnology: Laboratory Analytical Instruments,Industrials
763,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
