ticker,valor_actual,variacion,volumen,tipo
ADPT,6.35,-0.08,1239406,1
ADRT,10.54,0.04,624,1
ADSE,2.21,-0.15,117301,1
ADSEW,0.15,0,2500,1
ADSK,194.94,1.91,1281154,2
ADT,5.76,0.63,8220250,1
ADTH,1.46,0.02,54553,1
ADTHW,0.09,-125,73101,1
ADTN,8.75,0.04,980675,1
ADTX,0.67,86,8193397,1
ADUS,81.96,1.21,241133,1
ADV,1.23,0.04,210674,1
ADVM,0.81,233,120615,1
ADVWW,0.08,-32,5021,1
ADX,15.59,0.24,96979,1
ADXN,0.73,-116,14208,1
AE,37.49,0,7052,1
AEAE,10.33,0.03,301,1
AEAEW,0.07,17,5097,1
AEE,90.47,0.72,1325935,1
AEF,5.11,0.06,28624,1
AEFC,20.65,0.46,27623,1
AEG,4.40,0.11,2104214,1
AEHL,1.13,42,86721,1
AEHR,27.13,1.54,935523,1
AEI,1.52,0,51633,1
AEIS,86.92,2.87,165622,1
AEL,38.75,0.79,516790,1
AEL^A,21.94,0.53,13525,1
AEL^B,22.57,0.72,15369,1
AEM,59.81,-0.59,3023895,1
AEMD,0.33,125,314578,1
AENZ,2.25,-821,174,1
AEO,13.27,0.72,3720531,1
AEP,92.11,0.67,3328657,1
AEPPZ,50.69,0.26,17799,1
AER,55.47,1.41,767477,1
AES,22.67,0.19,8358709,1
AESC,87.65,0.86,38811,1
AESI,17.00,0.13,202707,1
AEVA,1.08,0.06,653396,1
AEY,0.87,-0.01,21608,1
AEYE,6.28,-0.07,17410,1
AEZS,3.13,0.14,13914,1
AFAR,10.65,699,147,1
AFARU,10.60,0,100,1
AFB,10.66,0.1,111473,1
AFBI,12.35,2.925,15890,1
AFCG,11.16,0.23,141920,1
AFG,115.84,1.19,188923,2
AFGB,24.30,0.39,11277,1
AFGC,21.42,0.67,6756,1
AFGD,22.94,295,3443,1
AFGE,18.30,0.6,5019,1
AFIB,0.90,495,48520,1
AFL,67.59,0.77,2460813,1
AFMD,0.88,175,291337,1
AFRI,11.04,-1.199,18612,1
AFRIW,0.55,521,2050,1
AFRM,10.71,1.58,23216382,1
AFT,12.46,388,54042,1
AFTR,10.27,-701,7256,1
AFYA,11.36,0.59,176367,1
AG,6.84,-0.13,8066572,1
AGAC,10.36,5,1801,1
AGAE,1.00,15,15406,1
AGBA,2.11,0.25,6471411,1
AGBAW,0.07,-64,13027,1
AGCO,127.02,4.83,677857,2
AGD,9.36,0.14,43029,1
AGE,0.59,1,9980,1
AGEN,1.57,0.04,5657738,1
AGFY,0.21,0.01,1349788,1
AGI,13.81,0.06,3328026,1
AGIL,1.36,0.06,13140,1
AGILW,0.15,-34,2584,1
AGIO,25.54,0.92,1055428,1
AGL,24.51,0.22,1409614,1
AGLE,0.16,0,524146,1
AGM,129.88,2.98,36226,2
AGM^C,25.48,-7.799,593,1
AGM^D,23.49,485,2440,1
AGM^E,22.80,-4.999,8877,1
AGM^F,21.64,1.2451,13499,1
AGM^G,19.82,0.35,7871,1
AGMH,2.23,-7,1950,1
AGNC,9.47,0.22,8068900,1
AGNCL,21.39,0.59,10630,1
AGNCM,20.62,0.33,17820,1
AGNCN,24.60,0.29,33495,1
AGNCO,21.20,0.4,27532,1
AGNCP,19.79,0.28,25088,1
AGO,52.69,1.35,271319,1
AGR,41.10,0.53,476686,1
AGRI,0.59,302,104691,1
AGRIW,0.05,-193,7559,1
AGRO,8.52,0.33,479975,1
AGRX,5.90,-65,16120,1
AGS,5.32,0.3,452205,1
AGTI,16.44,0.78,257553,1
AGX,40.82,0.97,54561,1
AGYS,77.45,0.57,62859,1
AHCO,11.66,0.66,1205757,1
AHG,0.36,598,2721,1
AHH,12.36,0.49,544171,1
AHH^A,21.55,-3.624,1633,1
AHI,0.34,0,12209,1
AHL^C,23.29,0.23,16935,1
AHL^D,18.30,-0.02,15979,1
AHL^E,18.47,0,10941,1
AHRN,10.48,0,203,1
AHRNU,10.52,0,100,1
AHT,4.46,-0.03,910344,1
AHT^D,20.74,5.713,443,1
AHT^F,16.85,0.26,831,1
AHT^G,18.25,2.001,4450,1
AHT^H,17.00,0.34,564,1
AHT^I,16.95,0.19,790,1
AI,18.70,0.78,7626555,1
AIB,10.59,0.02,1871,1
AIC,23.88,-843,2323,1
AIF,12.35,0.1,46677,1
AIG,53.79,3.91,7504077,1
AIG^A,24.73,0.32,42627,1
AIH,1.11,-24,508,1
AIHS,0.90,-15,39383,1
AIM,0.49,96,78588,1
AIMAU,10.58,0,106,1
AIMD,0.75,-0.09,29494,1
AIMDW,0.29,-659,1503,1
AIN,91.97,2.02,117224,1
AINC,10.97,8.244,5121,1
AIO,16.59,0.11,59432,1
AIP,4.69,0.7,176187,1
AIR,53.13,1.39,127460,1
AIRC,36.03,0.46,665754,1
AIRG,5.81,0.03,6051,1
AIRI,3.73,309,5110,1
AIRS,5.07,0.19,130457,1
AIRT,24.80,0,95,1
AIRTP,21.50,0,49,1
AIT,129.67,1.88,179681,2
AIU,1.05,-0.03,35670,1
AIV,7.99,0.38,1558991,1
AIXI,5.55,135,64159,1
AIZ,130.94,0.58,403036,2
AIZN,19.35,0.28,11144,1
AJG,213.82,2.99,852335,2
AJRD,56.31,-0.08,650028,1
AJX,5.58,-0.35,269661,1
AJXA,23.88,155,2074,1
AKA,0.32,-47,320133,1
AKAM,78.56,1.52,2046964,1
AKAN,1.03,-0.11,1006910,1
AKBA,1.09,1.602,2368567,1
AKLI,1.47,-0.02,354756,1
AKO/A,12.76,6.099,5037,1
AKO/B,15.27,0.1,15575,1
AKR,13.47,0.07,652969,1
AKRO,45.13,0.38,440748,1
AKTS,2.90,0.17,629271,1
AKTX,0.18,-2,409045,1
AKU,0.60,298,24509,1
AKYA,6.85,-0.24,54356,1
AL,37.84,1.38,665029,1
AL^A,21.91,0.42,9522,1
ALAR,2.03,0.08,7298,1
ALB,179.70,4.05,2363045,2
ALBT,1.92,0.01,13788,1
ALC,73.69,0.69,698181,1
ALCC,10.29,0.03,198446,1
ALCO,23.49,0.67,39266,1
ALCYU,10.11,0.11,8721945,1
ALDX,10.57,0.18,660842,1
ALE,62.59,-1.12,311620,1
ALEC,7.41,0.69,712502,1
ALEX,18.92,-0.33,159543,1
ALG,179.29,5.14,64782,2
ALGM,37.46,0.89,828376,1
ALGN,313.64,9.53,595910,2
ALGS,1.24,-0.12,115466,1
ALGT,106.85,4.18,222179,2
ALHC,6.89,-0.11,1346864,1
ALIM,1.90,-382,40996,1
ALIT,8.82,-0.03,4906436,1
ALK,43.16,1.07,1366212,1
ALKS,29.45,0.74,1075694,1
ALKT,12.18,0.65,224317,1
ALL,115.73,1.71,2244547,2
ALL^B,25.14,0.09,27059,1
ALL^H,23.36,645,55778,1
ALL^I,22.68,0.05,23530,1
ALLE,108.09,1.06,813840,2
ALLG,2.05,0.08,35719,1
ALLK,4.26,-0.04,615096,1
ALLO,6.60,0.15,2082974,1
ALLR,0.41,-233,2922780,1
ALLT,2.82,115,17611,1
ALLY,25.32,0.99,4806843,1
ALNY,212.05,6.66,768097,2
ALOR,10.35,0,8251,1
ALORU,10.39,0.06,1100,1
ALOT,14.70,0.22,14578,1
ALPA,10.17,0,139578,1
ALPAU,10.18,0,106,1
ALPAW,0.13,609,6268,1
ALPN,7.39,0.55,46707,1
ALPP,0.30,203,746608,1
ALPS,0.73,308,198021,1
ALRM,45.63,0.13,585255,1
ALRN,1.37,0.01,8411,1
ALRS,13.90,0.29,39814,1
ALSA,10.57,0.01,746,1
ALSAR,0.09,-223,26705,1
ALSAW,0.02,0,100,1
ALSN,47.24,1.16,578328,1
ALT,4.94,0,1006297,1
ALTG,13.37,0.23,149227,1
ALTG^A,25.45,-39,10310,1
ALTI,5.19,-1.14,614190,1
ALTIW,1.19,695,622662,1
ALTO,1.40,0.03,978047,1
ALTR,68.23,1.34,483148,1
ALTU,10.10,0,10781,1
ALTUW,0.07,-3,24915,1
ALV,85.58,3.21,776272,1
ALVO,9.77,0.13,13331,1
ALVR,4.41,0.15,159612,1
ALX,173.12,-3.45,8008,2
ALXO,6.37,0.02,208834,1
ALYA,1.86,25,6391,1
ALZN,0.51,38,79128,1
AM,10.45,0.17,2052998,1
AMAL,15.37,0.36,175893,1
AMAM,11.78,-0.05,499217,1
AMAO,10.19,0,11478,1
AMAOU,10.50,0,1,1
AMAT,116.06,3.61,4874190,2
AMBA,66.09,2.09,548147,1
AMBC,14.93,0.4,274759,1
AMBI,5.90,0.57,35039,1
AMBO,0.24,-23,129167,1
AMBP,3.72,0.02,1209025,1
AMC,5.89,-0.03,28346006,1
AMCR,10.42,0.21,10166138,1
AMCX,15.06,0.4,635626,1
AMD,89.84,3.23,78407271,1
AME,145.02,2.1,717564,2
AMED,79.07,-1.4,2770681,1
AMEH,34.88,0.73,194595,1
AMG,141.59,3.83,200515,2
AMGN,236.53,4.64,2806755,2
AMH,35.07,1.48,3381359,1
AMH^G,24.36,0.37,1302,1
AMH^H,25.20,0.4,1855,1
AMK,27.14,0.83,154504,1
AMKR,21.59,1.1,706044,1
AMLI,2.10,0.05,229989,1
AMLX,29.04,1.31,738621,1
AMN,90.89,5.79,2154125,1
AMNB,26.65,0.29,26847,1
AMOT,34.80,0.16,29200,1
AMP,291.18,9.16,708975,2
AMPE,0.21,17,137036,1
AMPG,3.25,0.18,58146,1
AMPGW,0.60,428,16447,1
AMPH,36.49,-0.07,327868,1
AMPL,11.66,0.5,457588,1
AMPS,4.38,0.21,902274,1
AMPX,8.76,0.31,131527,1
AMPY,7.15,0.15,472422,1
AMR,147.12,7.96,381759,2
AMRC,43.03,1.7,326564,1
AMRK,36.30,1.32,135718,1
AMRN,1.39,0.02,2457338,1
AMRS,0.76,-781,6253935,1
AMRX,1.92,0.08,869772,1
AMS,2.80,0.04,27277,1
AMSC,3.90,0.2,216746,1
AMSF,56.53,0.68,107700,1
AMST,4.05,0.23,69246,1
AMSWA,12.54,0.47,141661,1
AMT,196.75,2.35,1210825,2
AMTB,16.96,0.37,78632,1
AMTD,1.67,0.04,125515,1
AMTI,0.27,0.01,59704,1
AMTX,1.87,0.12,1391200,1
AMV,0.53,21,288320,1
AMWD,50.34,1.28,84817,1
AMWL,2.07,0.08,2561832,1
AMX,21.16,-0.19,2513008,1
AMZN,105.66,1.655,56912580,2
AN,133.22,3.8,554968,2
ANAB,21.90,0.84,242196,1
ANDE,37.48,0.71,359785,1
ANEB,2.43,-199,2689,1
ANET,137.98,2.64,3034743,2
ANF,22.72,0.89,883577,1
ANGH,1.40,-0.17,10953,1
ANGHW,0.09,174,12877,1
ANGI,2.44,0.06,654865,1
ANGN,0.76,671,62088,1
ANGO,8.72,0.24,214685,1
ANIK,25.87,0.04,58679,1
ANIP,39.14,1.1,50963,1
ANIX,3.91,-0.08,75275,1
ANNX,5.27,55,364160,1
ANPC,5.50,-0.2,14710,1
ANSS,301.68,-1.28,714620,2
ANTE,1.46,-1.272,6505,1
ANTX,5.70,0.38,22659,1
ANVS,14.34,0.28,34264,1
ANY,0.43,109,747630,1
ANZU,10.09,0.02,24959,1
ANZUU,10.15,0.04,1800,1
ANZUW,0.05,12,593,1
AOD,8.19,0.12,220075,1
AOGO,10.42,0,303,1
AOGOU,10.49,0.01,603,1
AOMR,7.96,0.22,137725,1
AON,328.40,7.7,1150386,2
AORT,15.19,1.84,462477,1
AOS,70.38,1.19,768860,1
AOSL,24.10,0.74,445046,1
AOUT,8.53,-0.07,13206,1
AP,2.98,-0.01,9146,1
APA,33.22,0.96,7296915,1
APAC,10.63,0,1,1
APACW,0.07,-24,153,1
APAM,32.69,0.9,477662,1
APCA,10.63,0,1,1
APCX,1.96,0.01,64674,1
APCXW,0.39,0.04,4664,1
APD,296.70,5.63,730866,2
APDN,1.02,-15,45599,1
APE,1.56,0,10735410,1
APEI,5.34,0.21,150527,1
APG,22.49,0.74,2042406,1
APGB,10.20,0,27465,1
APGN,0.40,-0.05,166641,1
APGNW,0.04,35,3234,1
APH,75.71,1.13,2294309,1
API,3.36,0.23,570616,1
APLD,3.39,0.15,485415,1
APLE,15.49,0.34,1332158,1
APLM,4.40,0.47,84794,1
APLMW,0.08,-27,51600,1
APLS,93.18,8.81,4471740,1
APLT,1.58,0.07,195482,1
APM,5.35,0.54,613360,1
APMI,10.16,0,27982,1
APMIU,10.18,0.03,224,1
APMIW,0.13,0,34,1
APO,60.53,2.49,2208664,1
APOG,40.07,0.73,104478,1
APP,17.16,0.54,1757216,1
APPF,137.14,3.25,72912,2
APPH,0.48,246,1333445,1
APPHW,0.05,6,80130,1
APPN,33.96,0.23,326753,1
APPS,11.84,0.33,910044,1
APRE,3.90,599,7104,1
APRN,0.50,-238,3055804,1
APT,3.96,-0.04,32293,1
APTM,10.28,0.01,1045,1
APTMU,10.29,-0.01,1523,1
APTMW,0.11,0,408,1
APTO,0.54,179,304556,1
APTV,93.42,1.37,2561686,1
APTV^A,104.68,1.04,195815,2
APTX,0.08,-382,30935155,1
APVO,1.72,-0.01,40925,1
APWC,1.66,-0.01,3297,1
APXI,10.56,-0.01,3871,1
APXIU,10.57,0.01,5654,1
APXIW,0.05,-51,1258,1
APYX,3.44,-0.1,66707,1
AQB,0.54,97,164640,1
AQMS,1.05,-0.02,216566,1
AQN,8.83,0.12,3319182,1
AQNA,23.23,0.22,13197,1
AQNB,22.92,0.7,9231,1
AQNU,31.02,0.39,33942,1
AQST,2.04,0.08,1779226,1
AQU,10.29,0,1,1
AQUA,51.52,0.93,4528772,1
AQUNR,0.28,-119,3402,1
AR,21.10,1,5401490,1
ARAV,1.60,0.01,124583,1
ARAY,3.54,0.03,444318,1
ARBB,3.87,-399,46143,1
ARBE,1.97,0,110212,1
ARBEW,0.20,0,12393,1
ARBG,10.15,0.03,23840,1
ARBGW,0.10,0,3912,1
ARBK,1.42,0.01,92269,1
ARBKL,7.05,0.19,10042,1
ARC,2.96,-0.04,150096,1
ARCB,87.82,2.09,143466,1
ARCC,18.21,0.56,2378093,1
ARCE,12.15,0.21,22657,1
ARCH,123.85,5.27,622894,2
ARCO,8.31,0.35,855190,1
ARCT,27.10,0.52,424747,1
ARDC,12.07,0.08,66450,1
ARDS,0.18,-32,238805,1
ARDX,4.61,-0.09,5379359,1
ARE,123.64,2.09,721607,2
AREB,0.14,32,158398,1
AREBW,0.02,13,2235,1
AREC,1.44,0.12,236314,1
AREN,4.03,-0.15,24945,1
ARES,81.95,2.42,846213,1
ARGD,22.00,2.952,14490,1
ARGO,29.40,-0.02,176613,1
ARGO^A,21.59,0.22,13681,1
ARGX,404.16,8.75,332763,2
ARHS,8.19,0.58,1065344,1
ARI,9.52,0.21,1251150,1
ARIS,6.85,0,352464,1
ARIZ,10.47,0.02,504476,1
ARIZR,0.11,0,201,1
ARIZU,10.51,0,114,1
ARIZW,0.04,-35,231,1
ARKO,8.15,0.08,186954,1
ARKOW,1.26,0.02,600,1
ARKR,18.17,0.53,2610,1
ARL,18.79,0.67,5282,1
ARLO,6.69,0.2,783100,1
ARLP,20.00,0.07,739266,1
ARMK,34.79,1.08,1446980,1
ARMP,1.48,-0.06,27793,1
ARNC,29.05,0.12,7671838,1
AROC,9.92,-0.03,1283399,1
AROW,20.75,0.83,60766,1
ARQQ,1.14,0.05,542377,1
ARQQW,0.35,-197,15300,1
ARQT,14.56,0.08,836033,1
ARR,5.09,0.16,4596621,1
ARR^C,19.65,0.13,3483,1
ARRW,10.31,0.01,677,1
ARRWU,10.43,-299,1900,1
ARRWW,0.21,-1,50904,1
ARRY,18.37,0.68,2614889,1
ARTE,10.39,0,43632,1
ARTEU,10.40,0.02,100,1
ARTL,1.68,0.04,14607,1
ARTLW,0.06,-177,3992,1
ARTNA,55.40,0.43,16349,1
ARTW,2.63,0.01,10057,1
ARVL,1.91,0.2,481043,1
ARVN,25.30,1.79,717078,1
ARW,119.64,0.47,541666,2
ARWR,41.38,1.33,1526245,1
ARYD,10.50,0,184,1
ARYE,10.26,0,200,1
ASA,17.53,-0.13,57196,1
ASAI,10.61,-0.9,827639,1
ASAN,16.25,0.37,1439596,1
ASB,15.78,0.64,2329367,1
ASB^E,16.09,0.62,41691,1
ASB^F,15.90,0.38,40404,1
ASBA,20.17,0.56,61315,1
ASC,13.41,0.27,628920,1
ASCA,10.50,0.08,50001,1
ASCAU,10.99,0,5,1
ASCB,10.49,0.02,128,1
ASCBU,10.58,152,3300,1
ASCBW,0.03,-3,153,1
ASG,5.01,0.08,208054,1
ASGI,17.72,0.12,43178,1
ASGN,66.38,1.82,440773,1
ASH,91.02,2.12,729824,1
ASIX,37.24,2.19,165557,1
ASLE,16.25,0.08,96198,1
ASLN,4.21,0.02,29308,1
ASM,0.88,-186,541349,1
ASMB,1.03,-0.01,250873,1
ASML,650.32,15.27,801395,2
ASND,94.45,0.44,695012,1
ASNS,4.21,-0.82,969694,1
ASO,61.00,-0.04,1036181,1
ASPI,0.55,-0.04,224831,1
ASPN,7.43,0.03,2230109,1
ASPS,4.35,-0.15,177384,1
ASR,282.11,4.48,65167,2
ASRT,6.15,0.25,1895211,1
ASRV,2.89,0.02,3766,1
ASST,0.95,-56,22730,1
ASTC,10.35,0.05,3159,1
ASTE,42.12,1.68,130766,1
ASTI,0.23,143,359368,1
ASTL,7.16,0.18,371808,1
ASTLW,1.55,0.08,13490,1
ASTR,0.38,115,859853,1
ASTS,5.06,0.28,1081919,1
ASTSW,1.50,771,4444,1
ASUR,13.65,-0.13,296848,1
ASX,7.11,0.12,5226442,1
ASXC,0.63,86,209509,1
ASYS,9.05,0.36,28040,1
ATAI,2.01,0.06,570808,1
ATAK,10.47,0.04,100,1
ATAKW,0.02,8,2000,1
ATAQ,10.17,0,3,1
ATAT,19.72,-0.42,105737,1
ATCO^D,22.39,0.21,8265,1
ATCO^H,20.94,0.27,8883,1
ATCO^I,22.79,0.04,6358,1
ATCOL,23.10,0,13,1
ATEC,15.16,0.5,2561942,1
ATEK,10.31,0,41,1
ATEN,13.76,-0.22,1097102,1
ATER,0.74,322,353849,1
ATEX,31.03,0.45,239128,1
ATGE,41.65,-0.45,311310,1
ATH^A,20.24,0.69,39792,1
ATH^B,18.61,0.57,15887,1
ATH^C,22.06,0.72,29580,1
ATH^D,15.90,0.43,36699,1
ATH^E,23.88,2.916,12734,1
ATHA,2.96,0.02,187366,1
ATHE,3.04,-95,3552,1
ATHM,29.67,0.05,380600,1
ATHX,0.80,-12,109758,1
ATI,36.84,1.48,1656878,1
ATIF,1.68,297,181,1
ATIP,0.25,-93,659727,1
ATKR,125.49,3.12,530955,2
ATLC,28.30,1.52,21552,1
ATLCL,21.18,5.766,2510,1
ATLCP,17.19,8.084,3645,1
ATLO,18.35,0.36,29862,1
ATLX,23.96,7.03,2152236,1
ATMC,10.36,0,1,1
ATMCU,10.58,0.03,410,1
ATMCW,0.04,-4,540,1
ATMVU,10.38,-252,239,1
ATNF,1.09,0.03,162593,1
ATNFW,0.02,-4,63165,1
ATNI,36.74,0.68,50603,1
ATNM,8.80,-0.07,155179,1
ATNX,1.36,0.01,33367,1
ATO,117.56,-0.4,1169193,2
ATOM,9.70,0.51,374228,1
ATOS,0.69,91,288219,1
ATR,121.70,2.9,171147,2
ATRA,2.91,0.16,970397,1
ATRC,48.34,1.21,401818,1
ATRI,608.80,18.79,3701,2
ATRO,15.17,0.66,108525,1
ATSG,14.93,-4.93,3694076,1
ATTO,1.09,-1.901,57291,1
ATUS,2.97,0.2,3549502,1
ATVI,76.00,1.41,5202399,1
ATXG,0.80,-801,553022,1
ATXI,1.02,-29,102850,1
ATXS,12.77,0.12,53563,1
AU,28.34,-0.79,3507335,1
AUB,25.41,1.33,847951,1
AUB^A,18.97,2.3,91833,1
AUBN,21.94,-0.21,888,1
AUD,0.11,-18,609549,1
AUDC,9.95,0.03,96001,1
AUGX,3.70,0.5,642918,1
AUID,0.36,-207,1479,1
AULT,0.09,32,3324632,1
AULT^D,10.87,0.02,2199,1
AUMN,0.22,-7,352498,1
AUPH,11.56,0.22,4146900,1
AUR,1.46,0.11,1351250,1
AURA,9.71,0.42,56840,1
AURC,10.14,0,15,1
AUROW,0.21,219,33135,1
AUST,1.14,97,80096,1
AUTL,1.89,-0.03,628055,1
AUUD,0.40,-179,91285,1
AUUDW,0.10,0,2500,1
AUVI,0.46,-17,253706,1
AUVIP,19.49,0,36,1
AVA,44.52,0.29,500168,1
AVAC,10.52,-99,2017,1
AVACU,10.71,2.091,623,1
AVACW,0.08,-73,1719,1
AVAH,1.08,-0.01,172160,1
AVAL,2.52,0.07,61708,1
AVAV,102.82,2.03,94165,2
AVB,179.75,1.48,755666,2
AVD,18.78,0.42,107784,1
AVDL,14.96,0.71,2070047,1
AVDX,8.04,-0.21,2959486,1
AVGO,630.12,19.96,2486433,2
AVGR,0.47,184,125862,1
AVHI,10.51,-0.06,1474,1
AVHIW,0.05,0,100,1
AVID,22.11,-2.74,1905817,1
AVIR,3.35,0.02,590278,1
AVK,11.58,0.14,74196,1
AVNS,23.97,0.43,306769,1
AVNT,38.49,1.49,413409,1
AVNW,28.03,-0.54,114770,1
AVO,11.80,0.14,85000,1
AVPT,4.48,0.08,354863,1
AVPTW,0.65,-49,8835,1
AVRO,0.70,441,198068,1
AVT,42.76,0.35,823603,1
AVTA,24.11,0.28,274355,1
AVTE,22.01,1.04,50869,1
AVTR,20.05,-0.18,3515651,1
AVTX,2.60,-0.22,25124,1
AVXL,8.44,0.04,796390,1
AVY,172.08,3.93,514327,2
AWF,10.03,0.18,294311,1
AWH,0.31,67,183653,1
AWI,67.45,0.96,493124,1
AWIN,0.69,199,53512,1
AWINW,0.04,57,2422,1
AWK,148.43,0.61,548403,2
AWP,3.96,0.04,185503,1
AWR,90.88,0.17,87433,1
AWRE,1.65,0.02,4363,1
AWX,2.68,0.02,396,1
AX,39.87,2.8,630426,1
AXAC,10.46,0,1,1
AXDX,0.81,-5,194681,1
AXGN,9.42,0.41,300578,1
AXL,7.41,0.67,1628692,1
AXLA,0.40,5,51881,1
AXNX,52.44,2.05,625685,1
AXON,219.91,0.81,796605,2
AXP,152.65,3.84,2221889,2
AXR,13.94,184,2443,1
AXS,54.60,1.19,448247,1
AXS^E,21.62,0.47,16295,1
AXSM,73.74,2.59,971613,1
AXTA,30.35,0.98,1751752,1
AXTI,2.89,0.11,290148,1
AY,24.85,-0.07,687683,1
AYI,157.98,3.03,141389,2
AYRO,0.49,176,67436,1
AYTU,1.53,-0.05,130840,1
AYX,35.97,0.49,2690965,1
AZ,1.25,-25,8045,1
AZEK,26.23,-0.09,3466390,1
AZN,75.27,0.89,3407949,1
AZO,2691.58,29.98,75755,2
AZPN,172.57,8.51,219942,2
AZRE,2.15,0.26,359768,1
AZTA,45.59,1.24,1188993,1
AZUL,7.00,0.21,1947767,1
AZYO,2.40,-0.07,24323,1
AZZ,36.60,0.3,93123,1
B,41.46,0.49,175510,1
BA,198.34,1.29,3870063,2
BABA,83.22,0.73,17500151,1
BAC,27.71,0.72,50049800,1
BAC^B,24.73,0.21,69916,1
